
sx,sy,x,y
0,0,8,229
8,229,7,228
15,457,6,227
21,684,5,226
26,910,4,225
30,1135,3,224
33,1359,2,223
35,1582,1,222
36,1804,0,221
36,2025,0,220
36,2245,0,219
36,2464,0,218
36,2682,0,217
36,2899,0,216
36,3115,0,215
36,3330,0,214
36,3544,0,213
36,3757,0,212
36,3969,0,211
36,4180,0,210
36,4390,0,209
36,4599,0,208
36,4807,0,207
36,5014,0,206
36,5220,0,205
36,5425,0,204
36,5629,0,203
36,5832,0,202
36,6034,0,201
36,6235,0,200
36,6435,0,199
36,6634,0,198
36,6832,0,197
36,7029,0,196
36,7225,0,195
36,7420,0,194
36,7614,0,193
36,7807,0,192
36,7999,0,191
36,8190,0,190
36,8380,0,189
36,8569,0,188
36,8757,0,187
36,8944,0,186
36,9130,0,185
36,9315,0,184
36,9499,0,183
36,9682,0,182
36,9864,0,181
36,10045,0,180
36,10225,0,179
36,10404,0,178
36,10582,0,177
36,10759,0,176
36,10935,0,175
36,11110,0,174
36,11284,0,173
36,11457,0,172
36,11629,0,171
36,11800,0,170
36,11970,0,169
36,12139,0,168
36,12307,0,167
36,12474,0,166
36,12640,0,165
36,12805,0,164
36,12969,0,163
36,13132,0,162
36,13294,0,161
36,13455,0,160
36,13615,0,159
36,13774,0,158
36,13932,0,157
36,14089,0,156
36,14245,0,155
36,14400,0,154
36,14554,0,153
36,14707,0,152
36,14859,0,151
36,15010,0,150
36,15160,0,149
36,15309,0,148
36,15457,0,147
36,15604,0,146
36,15750,0,145
36,15895,0,144
36,16039,0,143
36,16182,0,142
36,16324,0,141
36,16465,0,140
36,16605,0,139
36,16744,0,138
36,16882,0,137
36,17019,0,136
36,17155,0,135
36,17290,0,134
36,17424,0,133
36,17557,0,132
36,17689,0,131
36,17820,0,130
36,17950,0,129
36,18079,0,128
36,18207,0,127
36,18334,0,126
36,18460,0,125
36,18585,0,124
36,18709,0,123
36,18832,0,122
36,18954,0,121
36,19075,0,120
36,19195,0,119
36,19314,0,118
36,19432,0,117
36,19549,0,116
36,19665,0,115
36,19780,0,114
36,19894,0,113
36,20007,0,112
36,20119,0,111
36,20230,0,110
36,20340,0,109
36,20449,0,108
36,20557,0,107
36,20664,0,106
36,20770,0,105
36,20875,0,104
36,20979,0,103
36,21082,0,102
36,21184,0,101
36,21285,0,100
36,21385,0,99
36,21484,0,98
36,21582,0,97
36,21679,0,96
36,21775,0,95
36,21870,0,94
36,21964,0,93
36,22057,0,92
36,22149,0,91
36,22240,0,90
36,22330,0,89
36,22419,0,88
36,22507,0,87
36,22594,0,86
36,22680,0,85
36,22765,0,84
36,22849,0,83
36,22932,0,82
36,23014,0,81
36,23095,0,80
36,23175,0,79
36,23254,0,78
36,23332,0,77
36,23409,0,76
36,23485,0,75
36,23560,0,74
36,23634,0,73
36,23707,0,72
36,23779,0,71
36,23850,0,70
36,23920,0,69
36,23989,0,68
36,24057,0,67
36,24124,0,66
36,24190,0,65
36,24255,0,64
36,24319,0,63
36,24382,0,62
36,24444,0,61
36,24505,0,60
36,24565,0,59
36,24624,0,58
36,24682,0,57
36,24739,0,56
36,24795,0,55
36,24850,0,54
36,24904,0,53
36,24957,0,52
36,25009,0,51
36,25060,0,50
36,25110,0,49
36,25159,0,48
36,25207,0,47
36,25254,0,46
36,25300,0,45
36,25345,0,44
36,25389,0,43
36,25432,0,42
36,25474,0,41
36,25515,0,40
36,25555,0,39
36,25594,0,38
36,25632,0,37
36,25669,0,36
36,25705,0,35
36,25740,0,34
36,25774,0,33
36,25807,0,32
36,25839,0,31
36,25870,0,30
36,25900,0,29
36,25929,0,28
36,25957,0,27
36,25984,0,26
36,26010,0,25
36,26035,0,24
36,26059,0,23
36,26082,0,22
36,26104,0,21
36,26125,0,20
36,26145,0,19
36,26164,0,18
36,26182,0,17
36,26199,0,16
36,26215,0,15
36,26230,0,14
36,26244,0,13
36,26257,0,12
36,26269,0,11
36,26280,0,10
36,26290,0,9
36,26299,0,8
36,26307,0,7
36,26314,0,6
36,26320,0,5
36,26325,0,4
36,26329,0,3
36,26332,0,2
36,26334,0,1
36,26335,0,0
36,26335,0,-1
36,26334,0,-2
36,26332,0,-3
36,26329,0,-4
36,26325,0,-5
36,26320,0,-6
36,26314,0,-7
36,26307,0,-8
36,26299,0,-9
36,26290,0,-10
36,26280,0,-11
36,26269,0,-12
36,26257,0,-13
36,26244,0,-14
36,26230,0,-15
36,26215,0,-16
36,26199,0,-17
36,26182,0,-18
36,26164,0,-19
36,26145,0,-20
36,26125,0,-21
36,26104,0,-22
36,26082,0,-23
36,26059,0,-24
36,26035,0,-25
36,26010,0,-26
36,25984,0,-27
36,25957,0,-28
36,25929,0,-29
36,25900,0,-30
36,25870,0,-31
36,25839,0,-32
36,25807,0,-33
36,25774,0,-34
36,25740,0,-35
36,25705,0,-36
36,25669,0,-37
36,25632,0,-38
36,25594,0,-39
36,25555,0,-40
36,25515,0,-41
36,25474,0,-42
36,25432,0,-43
36,25389,0,-44
36,25345,0,-45
36,25300,0,-46
36,25254,0,-47
36,25207,0,-48
36,25159,0,-49
36,25110,0,-50
36,25060,0,-51
36,25009,0,-52
36,24957,0,-53
36,24904,0,-54
36,24850,0,-55
36,24795,0,-56
36,24739,0,-57
36,24682,0,-58
36,24624,0,-59
36,24565,0,-60
36,24505,0,-61
36,24444,0,-62
36,24382,0,-63
36,24319,0,-64
36,24255,0,-65
36,24190,0,-66
36,24124,0,-67
36,24057,0,-68
36,23989,0,-69
36,23920,0,-70
36,23850,0,-71
36,23779,0,-72
36,23707,0,-73
36,23634,0,-74
36,23560,0,-75
36,23485,0,-76
36,23409,0,-77
36,23332,0,-78
36,23254,0,-79
36,23175,0,-80
36,23095,0,-81
36,23014,0,-82
36,22932,0,-83
36,22849,0,-84
36,22765,0,-85
36,22680,0,-86
36,22594,0,-87
36,22507,0,-88
36,22419,0,-89
36,22330,0,-90
36,22240,0,-91
36,22149,0,-92
36,22057,0,-93
36,21964,0,-94
36,21870,0,-95
36,21775,0,-96
36,21679,0,-97
36,21582,0,-98
36,21484,0,-99
36,21385,0,-100
36,21285,0,-101
36,21184,0,-102
36,21082,0,-103
36,20979,0,-104
36,20875,0,-105
36,20770,0,-106
36,20664,0,-107
36,20557,0,-108
36,20449,0,-109
36,20340,0,-110
36,20230,0,-111
36,20119,0,-112
36,20007,0,-113
36,19894,0,-114
36,19780,0,-115
36,19665,0,-116
36,19549,0,-117
36,19432,0,-118
36,19314,0,-119
36,19195,0,-120
36,19075,0,-121
36,18954,0,-122
36,18832,0,-123
36,18709,0,-124
36,18585,0,-125
36,18460,0,-126
36,18334,0,-127
36,18207,0,-128
36,18079,0,-129
36,17950,0,-130
36,17820,0,-131
36,17689,0,-132
36,17557,0,-133
36,17424,0,-134
36,17290,0,-135
36,17155,0,-136
36,17019,0,-137
36,16882,0,-138
36,16744,0,-139
36,16605,0,-140
36,16465,0,-141
36,16324,0,-142
36,16182,0,-143
36,16039,0,-144
36,15895,0,-145
36,15750,0,-146
36,15604,0,-147
36,15457,0,-148
36,15309,0,-149
36,15160,0,-150
36,15010,0,-151
36,14859,0,-152
36,14707,0,-153
36,14554,0,-154
36,14400,0,-155
36,14245,0,-156
36,14089,0,-157
36,13932,0,-158
36,13774,0,-159
36,13615,0,-160
36,13455,0,-161
36,13294,0,-162
36,13132,0,-163
36,12969,0,-164
36,12805,0,-165
36,12640,0,-166
36,12474,0,-167
36,12307,0,-168
36,12139,0,-169
36,11970,0,-170
36,11800,0,-171
36,11629,0,-172
36,11457,0,-173
36,11284,0,-174
36,11110,0,-175
36,10935,0,-176
36,10759,0,-177
36,10582,0,-178
36,10404,0,-179
36,10225,0,-180
36,10045,0,-181
36,9864,0,-182
36,9682,0,-183
36,9499,0,-184
36,9315,0,-185
36,9130,0,-186
36,8944,0,-187
36,8757,0,-188
36,8569,0,-189
36,8380,0,-190
36,8190,0,-191
36,7999,0,-192
36,7807,0,-193
36,7614,0,-194
36,7420,0,-195
36,7225,0,-196
36,7029,0,-197
36,6832,0,-198
36,6634,0,-199
36,6435,0,-200
36,6235,0,-201
36,6034,0,-202
36,5832,0,-203
36,5629,0,-204
36,5425,0,-205
36,5220,0,-206
36,5014,0,-207
36,4807,0,-208
36,4599,0,-209
36,4390,0,-210
36,4180,0,-211
36,3969,0,-212
36,3757,0,-213
36,3544,0,-214
36,3330,0,-215
36,3115,0,-216
36,2899,0,-217
36,2682,0,-218
36,2464,0,-219
36,2245,0,-220
36,2025,0,-221
36,1804,0,-222
36,1582,0,-223
36,1359,0,-224
36,1135,0,-225
36,910,0,-226
36,684,0,-227
36,457,0,-228
36,229,0,-229
36,0,0,-230
36,-230,0
